企业信息_行业_中文,富豪数量,财富总值_亿,平均财富_亿,代表人物,财富占比,富豪占比,财富集中度
汽车销售、能源、房地产,1,280.0,280.0,孙广信,0.13,0.09,280.0
能源、化工,1,280.0,280.0,钭正刚,0.13,0.09,280.0
乳业,2,275.0,137.5,冷友斌,0.13,0.18,137.5
钛合金、保温容器,2,270.0,135.0,肖安江,0.13,0.18,135.0
机器人,2,270.0,135.0,钱东奇,0.13,0.18,135.0
商业、金融、地产,1,270.0,270.0,涂辉龙,0.13,0.09,270.0
家电,1,265.0,265.0,梁庆德,0.13,0.09,265.0
钛白粉,3,260.0,86.66666666666667,许冉,0.12,0.27,86.67
数字新媒体、投资,1,260.0,260.0,江南春,0.12,0.09,260.0
自动化设备,3,260.0,86.66666666666667,王燕清,0.12,0.27,86.67
服装、投资,1,255.0,255.0,周建平,0.12,0.09,255.0
绿色建材、新能源,1,255.0,255.0,余竹云,0.12,0.09,255.0
煤化工、电力、运输,1,250.0,250.0,杜江涛,0.12,0.09,250.0
家用电器,3,250.0,83.33333333333333,黄宏生,0.12,0.27,83.33
印刷电路板,3,250.0,83.33333333333333,黄小芬,0.12,0.27,83.33
房地产、水电,1,250.0,250.0,缪寿良,0.12,0.09,250.0
家具,4,245.0,61.25,顾江生,0.12,0.37,61.25
视频软件,1,245.0,245.0,袁征,0.12,0.09,245.0
连锁酒店,2,242.0,121.0,季琦,0.12,0.18,121.0
太阳能芯片、发电厂,1,240.0,240.0,朱共山,0.11,0.09,240.0
工业制造、房地产,2,240.0,120.0,邵钦祥,0.11,0.18,120.0
矿产,2,240.0,120.0,肖永明,0.11,0.18,120.0
橱柜,1,240.0,240.0,姚良松,0.11,0.09,240.0
杂货,1,235.0,235.0,曹其峰,0.11,0.09,235.0
环保造纸,1,235.0,235.0,张茵,0.11,0.09,235.0
上网平台,1,230.0,230.0,陈大年,0.11,0.09,230.0
新能源,3,230.0,76.66666666666667,张传卫,0.11,0.27,76.67
文化传媒、投资,1,230.0,230.0,王麒诚,0.11,0.09,230.0
工业自动化产品,3,230.0,76.66666666666667,朱兴明,0.11,0.27,76.67
建筑开发、金融保险,1,225.0,225.0,尹衍梁,0.11,0.09,225.0
厨具,1,225.0,225.0,茅理翔,0.11,0.09,225.0
生物医药、房地产,1,225.0,225.0,赵燕,0.11,0.09,225.0
香精香料、烟草,1,225.0,225.0,朱林瑶,0.11,0.09,225.0
家电、房地产,1,225.0,225.0,郑坚江,0.11,0.09,225.0
橡胶,1,220.0,220.0,罗才仁,0.1,0.09,220.0
电缆、热能电力、投资,1,220.0,220.0,崔根良,0.1,0.09,220.0
通信,3,219.0,73.0,陈智松,0.1,0.27,73.0
包装,2,216.0,108.0,王华君,0.1,0.18,108.0
医药、电子新材料,1,215.0,215.0,郭梅兰,0.1,0.09,215.0
人工智能,3,215.0,71.66666666666667,杨秋梅,0.1,0.27,71.67
办公家具、房地产,1,210.0,210.0,陈永泰,0.1,0.09,210.0
工具制造,1,210.0,210.0,仇建平,0.1,0.09,210.0
光伏逆变器,2,208.0,104.0,王一鸣,0.1,0.18,104.0
工业设备、汽车零部件、房地产,1,205.0,205.0,张道才,0.1,0.09,205.0
个人护理用品,2,205.0,102.5,许连捷,0.1,0.18,102.5
钢铁、煤化工,1,205.0,205.0,郭恩元,0.1,0.09,205.0
教育、房地产,1,200.0,200.0,彭国远,0.1,0.09,200.0
汽车服务，产业园区,2,200.0,100.0,易大盛,0.1,0.18,100.0
电动自行车,1,195.0,195.0,张剑,0.09,0.09,195.0
软件与信息技术服务,1,195.0,195.0,周超男,0.09,0.09,195.0
工业机械,2,195.0,97.5,王世忠,0.09,0.18,97.5
食品与饮料,1,190.0,190.0,范现国,0.09,0.09,190.0
汽车灯具,1,190.0,190.0,周晓萍,0.09,0.09,190.0
电子制造、收藏,1,190.0,190.0,陈泰铭,0.09,0.09,190.0
零售,1,185.0,185.0,张文中,0.09,0.09,185.0
铝业,1,185.0,185.0,曾小山,0.09,0.09,185.0
电子烟,1,185.0,185.0,陈志平,0.09,0.09,185.0
软件、电子通讯产品,1,185.0,185.0,傅利泉,0.09,0.09,185.0
休闲沙发,1,185.0,185.0,黄敏利,0.09,0.09,185.0
光伏,1,180.0,180.0,靳保芳,0.09,0.09,180.0
造纸,1,180.0,180.0,李洪信,0.09,0.09,180.0
有色金属冶炼加工,2,180.0,90.0,李良彬,0.09,0.18,90.0
互联网游戏、投资,2,176.0,88.0,李琼,0.08,0.18,88.0
网络安全,2,175.0,87.5,齐向东,0.08,0.18,87.5
注塑机,1,175.0,175.0,张静章,0.08,0.09,175.0
电子商务,1,175.0,175.0,阳萌,0.08,0.09,175.0
锂矿,1,175.0,175.0,蒋卫平,0.08,0.09,175.0
体育用品、投资,2,170.0,85.0,李宁,0.08,0.18,85.0
半导体芯片,1,170.0,170.0,张帆,0.08,0.09,170.0
文具用品制造,2,170.0,85.0,陈湖文,0.08,0.18,85.0
水泥,2,170.0,85.0,章小华,0.08,0.18,85.0
能源、零售,1,170.0,170.0,张宏伟,0.08,0.09,170.0
羊绒、煤电、冶金、房地产,2,170.0,85.0,王林祥,0.08,0.18,85.0
货运物流,1,170.0,170.0,周胜馥,0.08,0.09,170.0
包装盒生产,2,170.0,85.0,李晓明,0.08,0.18,85.0
保健酒,1,165.0,165.0,吴少勋,0.08,0.09,165.0
通信部件、电子元器件,1,165.0,165.0,张万镇,0.08,0.09,165.0
电力设备,2,160.0,80.0,刘程宇,0.08,0.18,80.0
锂电池材料,2,160.0,80.0,梁丰,0.08,0.18,80.0
铜加工、投资,1,160.0,160.0,冯海良,0.08,0.09,160.0
电缆,2,160.0,80.0,夏崇耀,0.08,0.18,80.0
智能制造、投资,1,160.0,160.0,陈爱莲,0.08,0.09,160.0
零售、房地产,2,160.0,80.0,王恒,0.08,0.18,80.0
投资、拍卖,2,159.0,79.5,陆昂,0.08,0.18,79.5
