title,authors,conference_name,conference_year,link
Class-agnostic Reconstruction of Dynamic Objects from Videos.,"Zhongzheng Ren, Xiaoming Zhao, Alexander G. Schwing",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/04da4aea8e38ac933ab23cb2389dddef-Abstract.html
Unique sparse decomposition of low rank matrices.,"Dian Jin, Xin Bing, Yuqian Zhang",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/051928341be67dcba03f0e04104d9047-Abstract.html
Neighborhood Reconstructing Autoencoders.,"Yonghyeon Lee, Hyeokjun Kwon, Frank C. Park",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/05311655a15b75fab86956663e1819cd-Abstract.html
TopicNet: Semantic Graph-Guided Topic Discovery.,"Zhibin Duan, Yishi Xu, Bo Chen, Dongsheng Wang, Chaojie Wang, Mingyuan Zhou",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/0537fb40a68c18da59a35c2bfe1ca554-Abstract.html
(Almost) Free Incentivized Exploration from Decentralized Learning Agents.,"Chengshuai Shi, Haifeng Xu, Wei Xiong, Cong Shen",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/054ab897023645cd7ad69525c46992a0-Abstract.html
"Combining Recurrent, Convolutional, and Continuous-time Models with Linear State Space Layers.","Albert Gu, Isys Johnson, Karan Goel, Khaled Saab, Tri Dao, Atri Rudra, Christopher Ré",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/05546b0e38ab9175cd905eebcc6ebb76-Abstract.html
Revisiting Hilbert-Schmidt Information Bottleneck for Adversarial Robustness.,"Zifeng Wang, Tong Jian, Aria Masoomi, Stratis Ioannidis, Jennifer G. Dy",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/055e31fa43e652cb4ab6c0ee845c8d36-Abstract.html
T-LoHo: A Bayesian Regularization Model for Structured Sparsity and Smoothness on Graphs.,"Changwoo J. Lee, Zhao Tang Luo, Huiyan Sang",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/05a70454516ecd9194c293b0e415777f-Abstract.html
The Utility of Explainable AI in Ad Hoc Human-Machine Teaming.,"Rohan R. Paleja, Muyleng Ghuy, Nadun Ranawaka Arachchige, Reed Jensen, Matthew C. Gombolay",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/05d74c48b5b30514d8e9bd60320fc8f6-Abstract.html
Subgoal Search For Complex Reasoning Tasks.,"Konrad Czechowski, Tomasz Odrzygózdz, Marek Zbysinski, Michal Zawalski, Krzysztof Olejnik, Yuhuai Wu, Lukasz Kucinski, Piotr Milos",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/05d8cccb5f47e5072f0a05b5f514941a-Abstract.html
MCMC Variational Inference via Uncorrected Hamiltonian Annealing.,"Tomas Geffner, Justin Domke",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/05f971b5ec196b8c65b75d2ef8267331-Abstract.html
Landmark-RxR: Solving Vision-and-Language Navigation with Fine-Grained Alignment Supervision.,"Keji He, Yan Huang, Qi Wu, Jianhua Yang, Dong An, Shuanglin Sima, Liang Wang",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/0602940f23884f782058efac46f64b0f-Abstract.html
A Winning Hand: Compressing Deep Networks Can Improve Out-of-Distribution Robustness.,"James Diffenderfer, Brian R. Bartoldson, Shreya Chaganti, Jize Zhang, Bhavya Kailkhura",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/0607f4c705595b911a4f3e7a127b44e0-Abstract.html
On the Importance of Gradients for Detecting Distributional Shifts in the Wild.,"Rui Huang, Andrew Geng, Yixuan Li",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/063e26c670d07bb7c4d30e6fc69fe056-Abstract.html
Iterative Methods for Private Synthetic Data: Unifying Framework and New Methods.,"Terrance Liu, Giuseppe Vietri, Steven Wu",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/0678c572b0d5597d2d4a6b5bd135754c-Abstract.html
Understanding End-to-End Model-Based Reinforcement Learning Methods as Implicit Parameterization.,"Clement Gehring, Kenji Kawaguchi, Jiaoyang Huang, Leslie Pack Kaelbling",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/067a26d87265ea39030f5bd82408ce7c-Abstract.html
Mirror Langevin Monte Carlo: the Case Under Isoperimetry.,Qijia Jiang,34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/069090145d54bf4aa3894133f7e89873-Abstract.html
Do Different Tracking Tasks Require Different Appearance Models?,"Zhongdao Wang, Hengshuang Zhao, Ya-Li Li, Shengjin Wang, Philip H. S. Torr, Luca Bertinetto",34th NeurIPS 2021,2021,https://proceedings.neurips.cc/paper/2021/hash/06997f04a7db92466a2baa6ebc8b872d-Abstract.html
