胡润百富榜年份,排名,排名变化,财富(人民币/亿),财富(美元/百万),财富变化,个人信息_人物关系,个人信息_姓名_中文,个人信息_姓名_英文,个人信息_性别,个人信息_年龄,个人信息_照片URL,个人信息_籍贯_中文,个人信息_籍贯_英文,个人信息_出生地_中文,个人信息_出生地_英文,个人信息_常住地_中文,个人信息_常住地_英文,个人信息_教育程度_中文,个人信息_教育程度_英文,个人信息_毕业院校,个人信息_专业_中文,个人信息_专业_英文,企业信息_公司名称_中文,企业信息_公司名称_英文,企业信息_公司总部_中文,企业信息_公司总部_英文,企业信息_行业_中文,企业信息_行业_英文
2024,32,3,910.0,12800.0,-1%,家族,刘銮雄,Joseph Lau Luen Hung,男,73,https://res.hurun.net/default/icon_men.jpg,中国-香港,China-Hong Kong,中国-香港,China-Hong Kong,中国-香港,China-Hong Kong,,,未知,,,华人置业,Chinese Estates,香港,Hong Kong,房地产,Estate Holding
2024,33,-8,890.0,12500.0,-23%,个人,黄世霖,Huang Shilin,男,57,https://res.hurun.net/default/icon_men.jpg,,,中国-福建-宁德,China-Fujian-Ningde,中国-福建-宁德,China-Fujian-Ningde,本科,Undergraduate,合肥工业大学,,,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery Technology
2024,34,-14,885.0,12500.0,-29%,个人,王兴,Wang Xing,男,45,https://res.hurun.net/photo/000068_Wang_Xing.jpg,中国-福建,China-Fujian,中国-福建-龙岩,China-Fujian-Longyan,中国-北京,China-Beijing,本科,Undergraduate,清华大学,,,美团,Meituan,北京,Beijing,生活服务,Life Service
2024,35,5,870.0,12300.0,9%,个人,庞康,Pang Kang,男,68,https://res.hurun.net/photo/000023_Pang_Kang.jpg,,,中国-广东-佛山,China-Guangdong-Foshan,中国-广东-佛山,China-Guangdong-Foshan,本科,Undergraduate,未知,,,海天味业,Haitian,广东佛山,Guangdong,调味品,Food Flavorings
2024,36,4,850.0,12000.0,6%,个人,杜纪川,John Tu,男,83,https://res.hurun.net/default/icon_men.jpg,中国-浙江-丽水,China-Zhejiang-Lishui,中国-重庆,China-Chongqing,美国-洛杉矶,United States-Los Angeles,,,未知,,,金士顿科技,Kingston Technology,美国洛杉矶,Los Angeles,半导体,Semiconductors
2024,36,4,850.0,12000.0,6%,个人,孙大卫,David Sun,男,73,https://res.hurun.net/default/icon_men.jpg,,,中国-台湾-台北,China-Taiwan-Taipei,美国-洛杉矶,United States-Los Angeles,,,未知,,,金士顿科技,Kingston Technology,美国洛杉矶,Los Angeles,半导体,Semiconductors
2024,38,-2,810.0,11400.0,-10%,个人,林立,Lin Li,男,61,https://res.hurun.net/photo/000020_Lin_Li.jpg,中国-广东-河源,China-Guangdong-Heyuan,中国-广东-河源,China-Guangdong-Heyuan,中国-广东-深圳,China-Guangdong-Shenzhen,硕士,Master s,湖北工业大学,,,立业,Liye,广东深圳,Guangdong,投资,Investments
2024,38,-7,810.0,11400.0,-15%,个人,宗馥莉,Zong Fuli,女,未知,https://res.hurun.net/default/icon_women.jpg,,,,,中国-浙江-杭州,China-Zhejiang-Hangzhou,,,未知,,,娃哈哈,Wahaha,浙江杭州,Zhejiang,饮料,Drinks
2024,40,-20,800.0,11300.0,-36%,家族,吕志和,Lui Che Woo,男,95,https://res.hurun.net/default/icon_men.jpg,中国-广东-江门,China-Guangdong-Jiangmen,中国-香港,China-Hong Kong,中国-香港,China-Hong Kong,,,未知,,,银河,Galaxy Entertainment,香港,Hong Kong,博彩,Gaming
2024,40,-13,800.0,11300.0,-20%,个人,严彬,Yan Bin,男,70,https://res.hurun.net/default/icon_men.jpg,中国-山东-莱州,China-Shandong-Laizhou,中国-河南-新乡,China -Henan-New Township,中国-北京,China-Beijing,,,未知,,,华彬,Reignwood,北京,Beijing,饮料、地产,Food & Beverages
