企业信息_行业_中文,富豪数量,财富总值_亿,平均财富_亿,代表人物,财富占比
零售,1,185.0,185.0,张文中,0.09
铝业,1,185.0,185.0,曾小山,0.09
电子烟,1,185.0,185.0,陈志平,0.09
软件、电子通讯产品,1,185.0,185.0,傅利泉,0.09
休闲沙发,1,185.0,185.0,黄敏利,0.09
光伏,1,180.0,180.0,靳保芳,0.09
造纸,1,180.0,180.0,李洪信,0.09
有色金属冶炼加工,2,180.0,90.0,李良彬,0.09
互联网游戏、投资,2,176.0,88.0,李琼,0.08
网络安全,2,175.0,87.5,齐向东,0.08
注塑机,1,175.0,175.0,张静章,0.08
电子商务,1,175.0,175.0,阳萌,0.08
锂矿,1,175.0,175.0,蒋卫平,0.08
体育用品、投资,2,170.0,85.0,李宁,0.08
半导体芯片,1,170.0,170.0,张帆,0.08
文具用品制造,2,170.0,85.0,陈湖文,0.08
水泥,2,170.0,85.0,章小华,0.08
能源、零售,1,170.0,170.0,张宏伟,0.08
羊绒、煤电、冶金、房地产,2,170.0,85.0,王林祥,0.08
货运物流,1,170.0,170.0,周胜馥,0.08
包装盒生产,2,170.0,85.0,李晓明,0.08
保健酒,1,165.0,165.0,吴少勋,0.08
通信部件、电子元器件,1,165.0,165.0,张万镇,0.08
电力设备,2,160.0,80.0,刘程宇,0.08
锂电池材料,2,160.0,80.0,梁丰,0.08
铜加工、投资,1,160.0,160.0,冯海良,0.08
电缆,2,160.0,80.0,夏崇耀,0.08
智能制造、投资,1,160.0,160.0,陈爱莲,0.08
零售、房地产,2,160.0,80.0,王恒,0.08
投资、拍卖,2,159.0,79.5,陆昂,0.08
输配电设备,2,155.0,77.5,董增平,0.07
高密度印制电路板,2,155.0,77.5,陈涛,0.07
护肤品,2,155.0,77.5,张立国,0.07
水泥、铝业,1,150.0,150.0,李留法,0.07
造船,1,150.0,150.0,任元林,0.07
风电,1,150.0,150.0,张雷,0.07
电梯、锅炉、房地产,1,150.0,150.0,王水福,0.07
动漫,1,150.0,150.0,蔡东青,0.07
光伏产品,1,145.0,145.0,高纪凡,0.07
网游、影视娱乐,1,145.0,145.0,池宇峰,0.07
服装、房地产、投资,1,145.0,145.0,李如成,0.07
基础建设、房地产,2,145.0,72.5,黄建勲,0.07
印制电路板,1,140.0,140.0,吴礼淦,0.07
轻纺、房地产、投资,1,140.0,140.0,周永利,0.07
工业电器、投资,1,140.0,140.0,南存辉,0.07
基因检测、医疗大数据,1,140.0,140.0,汪建,0.07
影视娱乐,1,140.0,140.0,王长田,0.07
建筑陶瓷,2,140.0,70.0,叶德林,0.07
新材料,2,138.0,69.0,寇晓康,0.07
服装零售,2,136.0,68.0,Allan Warburg,0.06
LED,1,135.0,135.0,林秀成,0.06
精密铸件,1,135.0,135.0,袁富根,0.06
生物医疗设备,1,135.0,135.0,董凡,0.06
电子商务、儿童用品连锁,1,135.0,135.0,汪建国,0.06
化工新材料,1,135.0,135.0,沈锡强,0.06
充电桩,2,132.0,66.0,丁锋,0.06
化工、农业、投资,2,131.0,65.5,徐冠巨,0.06
保健品,1,130.0,130.0,梁允超,0.06
教育、生物医药、房地产、投资,1,130.0,130.0,兰春,0.06
轮胎、电缆、化工,1,130.0,130.0,尚吉永,0.06
自动驾驶技术,2,130.0,65.0,彭军,0.06
珠光材料,1,130.0,130.0,谢秉昆,0.06
制药、医药流通,1,130.0,130.0,刘革新,0.06
防水材料,1,130.0,130.0,李卫国,0.06
医药制造业,2,126.0,63.0,苗拥军,0.06
基础设施建设、房地产,1,125.0,125.0,俞发祥,0.06
消费电子、电讯,1,125.0,125.0,任正非,0.06
CMOS图像传感器,1,125.0,125.0,赵立新,0.06
化工塑料,1,125.0,125.0,袁志敏,0.06
日化、投资,1,125.0,125.0,梁亮胜,0.06
钢铁、天然气,1,125.0,125.0,丁立国,0.06
钢铁、铁矿石进出口、房地产,1,125.0,125.0,吕慧,0.06
有色金属、钢铁、物流,1,125.0,125.0,李非列,0.06
