期号,详情页链接,开奖日期,星期,中奖号码_前区,中奖号码_后区,出球顺序_前区,出球顺序_后区,总销售额(元),奖池奖金(元),1等奖_基本注数,1等奖_基本单注奖金(元),1等奖_基本总奖金(元),1等奖_追加注数,1等奖_追加单注奖金(元),1等奖_追加总奖金(元),1等奖_派奖注数,1等奖_派奖单注金额(元),1等奖_派奖总金额(元),1等奖_追加派奖注数,1等奖_追加派奖单注金额(元),1等奖_追加派奖总金额(元),2等奖_基本注数,2等奖_基本单注奖金(元),2等奖_基本总奖金(元),2等奖_追加注数,2等奖_追加单注奖金(元),2等奖_追加总奖金(元),2等奖_派奖注数,2等奖_派奖单注金额(元),2等奖_派奖总金额(元),2等奖_追加派奖注数,2等奖_追加派奖单注金额(元),2等奖_追加派奖总金额(元),3等奖_基本注数,3等奖_基本单注奖金(元),3等奖_基本总奖金(元),3等奖_追加注数,3等奖_追加单注奖金(元),3等奖_追加总奖金(元),4等奖_基本注数,4等奖_基本单注奖金(元),4等奖_基本总奖金(元),4等奖_追加注数,4等奖_追加单注奖金(元),4等奖_追加总奖金(元),5等奖_基本注数,5等奖_基本单注奖金(元),5等奖_基本总奖金(元),5等奖_追加注数,5等奖_追加单注奖金(元),5等奖_追加总奖金(元),6等奖_基本注数,6等奖_基本单注奖金(元),6等奖_基本总奖金(元),6等奖_追加注数,6等奖_追加单注奖金(元),6等奖_追加总奖金(元),7等奖_基本注数,7等奖_基本单注奖金(元),7等奖_基本总奖金(元),7等奖_追加注数,7等奖_追加单注奖金(元),7等奖_追加总奖金(元),8等奖_基本注数,8等奖_基本单注奖金(元),8等奖_基本总奖金(元),8等奖_追加注数,8等奖_追加单注奖金(元),8等奖_追加总奖金(元),9等奖_基本注数,9等奖_基本单注奖金(元),9等奖_基本总奖金(元),9等奖_追加注数,9等奖_追加单注奖金(元),9等奖_追加总奖金(元)
25056,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25056,2025-05-21,星期三,12 15 28 29 32,08 11,29 32 15 28 12,11 08,354948673,1375155244,2,10000000,20000000,1,8000000,8000000,1,10000000,10000000,0,0,0,109,158329,17257861,27,126663,3419901,82,40160,3293120,22,32129,706838,230,10000,2300000,0,0,0,836,3000,2508000,0,0,0,18164,300,5449200,0,0,0,27578,200,5515600,0,0,0,39069,100,3906900,0,0,0,878979,15,13184685,0,0,0,9414055,5,47070275,0,0,0
25055,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25055,2025-05-19,星期一,08 10 25 29 30,01 02,25 29 08 10 30,01 02,373248241,1329842896,6,10000000,60000000,0,0,0,5,2000000,10000000,0,0,0,110,194591,21405010,15,155672,2335080,86,44052,3788472,6,35243,211458,392,10000,3920000,323,5000,1615000,697,3000,2091000,489,1500,733500,19056,300,5716800,14280,150,2142000,20138,200,4027600,15017,100,1501700,60491,100,6049100,47998,50,2399900,761264,15,11418960,580287,7,4352152,8351677,5,41758385,6430702,2,16076755
25054,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25054,2025-05-17,星期六,03 12 16 21 29,01 02,29 16 03 12 21,02 01,400498726,1305673257,6,10000000,60000000,1,8000000,8000000,3,3333333,9999999,0,0,0,143,157222,22482746,28,125777,3521756,99,33613,3327687,25,26891,672275,363,10000,3630000,272,5000,1360000,734,3000,2202000,564,1500,846000,19702,300,5910600,14611,150,2191650,23831,200,4766200,18077,100,1807700,57895,100,5789500,44217,50,2210850,799489,15,11992335,601933,7,4514497,8750223,5,43751115,6672937,2,16682342
25053,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25053,2025-05-14,星期三,14 23 29 30 33,06 12,23 29 14 33 30,12 06,378116432,1281475209,7,10000000,70000000,0,0,0,7,1428571,9999997,0,0,0,88,238046,20948048,23,190436,4380028,68,48076,3269168,19,38462,730778,221,10000,2210000,166,5000,830000,748,3000,2244000,582,1500,873000,15288,300,4586400,11813,150,1771950,22646,200,4529200,17206,100,1720600,38452,100,3845200,30312,50,1515600,737458,15,11061870,570554,7,4279155,8334473,5,41672365,6487726,2,16219315
25052,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25052,2025-05-12,星期一,02 04 11 29 30,02 08,04 29 30 02 11,08 02,384489687,1261675356,3,10000000,30000000,0,0,0,1,10000000,10000000,0,0,0,218,85037,18538066,73,68029,4966117,181,17226,3117906,64,13781,881984,350,10000,3500000,285,5000,1425000,834,3000,2502000,575,1500,862500,20043,300,6012900,15265,150,2289750,27269,200,5453800,20565,100,2056500,47512,100,4751200,36108,50,1805400,855202,15,12828030,649969,7,4874767,9302717,5,46513585,7160519,2,17901297
25051,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25051,2025-05-10,星期六,02 04 13 29 31,05 12,13 29 31 04 02,05 12,402596942,1208341380,5,10000000,50000000,2,8000000,16000000,5,1515151,7575755,2,1212121,6060605,156,89634,13982904,16,71707,1147312,135,27972,3776220,10,22377,223770,303,10000,3030000,238,5000,1190000,1693,3000,5079000,1388,1500,2082000,21000,300,6300000,16649,150,2497350,65579,200,13115800,54153,100,5415300,46977,100,4697700,37615,50,1880750,1472982,15,22094730,1199355,7,8995162,14836303,5,74181515,12062180,2,30155450
25050,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25050,2025-05-07,星期三,15 18 20 21 34,04 10,18 21 34 20 15,10 04,380353203,1220697850,7,10000000,70000000,1,8000000,8000000,4,2083333,8333332,1,1666667,6666668,137,113717,15579229,31,90973,2820163,111,29806,3308466,29,23845,691505,219,10000,2190000,173,5000,865000,1390,3000,4170000,1139,1500,1708500,22264,300,6679200,18053,150,2707950,51423,200,10284600,43239,100,4323900,43240,100,4324000,34502,50,1725100,1204703,15,18070545,989510,7,7421325,11404082,5,57020410,9240341,2,23100852
25049,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25049,2025-05-05,星期一,09 20 22 29 34,03 08,34 29 22 20 09,08 03,350534405,1233463084,10,9368639,93686390,0,0,0,6,1666666,9999996,0,0,0,78,227748,17764344,8,182198,1457584,64,58823,3764672,5,47059,235295,179,10000,1790000,148,5000,740000,1043,3000,3129000,846,1500,1269000,18797,300,5639100,15113,150,2266950,32944,200,6588800,26098,100,2609800,44757,100,4475700,36228,50,1811400,945589,15,14183835,748098,7,5610735,9716527,5,48582635,7672381,2,19180952
25048,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25048,2025-05-03,星期六,02 06 17 23 35,06 11,35 17 23 06 02,06 11,364105069,1258998703,2,10000000,20000000,0,0,0,2,5000000,10000000,0,0,0,126,140526,17706276,35,112420,3934700,98,33898,3322004,25,27118,677950,374,10000,3740000,312,5000,1560000,838,3000,2514000,610,1500,915000,18690,300,5607000,14657,150,2198550,29093,200,5818600,22906,100,2290600,41914,100,4191400,32672,50,1633600,847400,15,12711000,663165,7,4973737,9092253,5,45461265,7116812,2,17792030
25047,https://www.zhcw.com/kjxx/dlt/kjxq/?kjData=25047,2025-04-30,星期三,03 10 11 12 21,02 03,03 21 12 11 10,02 03,367385544,1202271493,9,10000000,90000000,0,0,0,6,1666666,9999996,0,0,0,167,105515,17621005,55,84412,4642660,108,29411,3176388,35,23530,823550,320,10000,3200000,231,5000,1155000,962,3000,2886000,740,1500,1110000,23217,300,6965100,17916,150,2687400,25525,200,5105000,19665,100,1966500,52171,100,5217100,40600,50,2030000,850096,15,12751440,655497,7,4916227,8539134,5,42695670,6644239,2,16610597
